species_pair,phylogeny,group,total,positive,negative
240_1-45_1,2.449073385999999,IBD,19,0,19
240_1-45_1,2.449073385999999,non-IBD,93,0,93
240_1-66_5,1.991420939,IBD,31,0,31
240_1-66_5,1.991420939,non-IBD,87,0,87
252_1-335_1,1.5531333069999995,IBD,26,0,26
252_1-335_1,1.5531333069999995,non-IBD,61,0,61
252_1-45_1,2.127830637,IBD,36,0,36
252_1-45_1,2.127830637,non-IBD,37,0,37
252_1-66_5,1.67017819,IBD,24,0,24
252_1-66_5,1.67017819,non-IBD,45,0,45
267_1-335_1,1.827533756,IBD,87,0,87
267_1-335_1,1.827533756,non-IBD,17,0,17
268_1-66_5,1.9624474569999992,IBD,17,0,17
268_1-66_5,1.9624474569999992,non-IBD,37,0,37
269_1-335_1,1.8404988229999992,IBD,44,0,44
269_1-335_1,1.8404988229999992,non-IBD,51,0,51
26_2-283_1,2.318840725,IBD,12,0,12
26_2-283_1,2.318840725,non-IBD,15,0,15
26_2-326_1,1.930340381,IBD,24,0,24
26_2-326_1,1.930340381,non-IBD,120,0,120
26_2-330_1,2.03266083,IBD,20,0,20
26_2-330_1,2.03266083,non-IBD,58,0,58
26_2-334_1,2.014132645,IBD,45,0,45
26_2-334_1,2.014132645,non-IBD,94,0,94
26_2-335_1,2.011336148,IBD,698,0,698
26_2-335_1,2.011336148,non-IBD,2113,0,2113
26_2-338_1,2.0455019299999995,IBD,807,0,807
26_2-338_1,2.0455019299999995,non-IBD,1505,0,1505
26_2-42_2,0.490794003,IBD,17,6,11
26_2-42_2,0.490794003,non-IBD,103,21,82
26_2-44_1,0.5024551509999999,IBD,125,22,103
26_2-44_1,0.5024551509999999,non-IBD,37,13,24
26_2-44_3,0.5031655909999997,IBD,26,5,21
26_2-44_3,0.5031655909999997,non-IBD,127,36,91
26_2-45_1,0.1778537720000002,IBD,1008,339,669
26_2-45_1,0.1778537720000002,non-IBD,743,426,317
26_2-46_1,0.4512552799999998,IBD,71,4,67
26_2-46_1,0.4512552799999998,non-IBD,238,102,136
26_2-48_2,0.5134772799999996,IBD,175,68,107
26_2-48_2,0.5134772799999996,non-IBD,479,203,276
26_2-66_5,1.924133625,IBD,59,0,59
26_2-66_5,1.924133625,non-IBD,1139,0,1139
26_2-96_1,2.554473698,IBD,41,0,41
26_2-96_1,2.554473698,non-IBD,72,0,72
26_2-97_1,2.5866217789999992,IBD,66,0,66
26_2-97_1,2.5866217789999992,non-IBD,56,0,56
283_1-338_1,1.7548839909999996,IBD,120,0,120
283_1-338_1,1.7548839909999996,non-IBD,198,0,198
283_1-45_1,2.2954155389999995,IBD,112,0,112
283_1-45_1,2.2954155389999995,non-IBD,76,0,76
283_1-48_2,2.226260915,IBD,34,0,34
283_1-48_2,2.226260915,non-IBD,133,0,133
283_1-66_5,1.837763092,IBD,57,0,57
283_1-66_5,1.837763092,non-IBD,225,0,225
297_1-335_1,1.662755157,IBD,15,0,15
297_1-335_1,1.662755157,non-IBD,62,0,62
297_1-338_1,1.6969209389999995,IBD,42,0,42
297_1-338_1,1.6969209389999995,non-IBD,58,0,58
297_1-45_1,2.237452487,IBD,36,0,36
297_1-45_1,2.237452487,non-IBD,14,0,14
297_1-66_5,1.77980004,IBD,27,0,27
297_1-66_5,1.77980004,non-IBD,31,0,31
298_1-335_1,1.876371791,IBD,54,0,54
298_1-335_1,1.876371791,non-IBD,54,0,54
298_1-338_1,1.910537573,IBD,22,0,22
298_1-338_1,1.910537573,non-IBD,69,0,69
298_1-45_1,2.451069121,IBD,24,0,24
298_1-45_1,2.451069121,non-IBD,19,0,19
300_1-338_1,1.917143895,IBD,16,0,16
300_1-338_1,1.917143895,non-IBD,27,0,27
30_1-335_1,2.000165646,IBD,33,0,33
30_1-335_1,2.000165646,non-IBD,153,0,153
30_1-45_1,0.3972282219999998,IBD,33,0,33
30_1-45_1,0.3972282219999998,non-IBD,18,12,6
318_19-335_1,1.0290614379999998,IBD,67,0,67
318_19-335_1,1.0290614379999998,non-IBD,271,0,271
318_19-338_1,1.06322722,IBD,199,0,199
318_19-338_1,1.06322722,non-IBD,42,0,42
318_19-44_3,1.777873221,IBD,24,0,24
318_19-44_3,1.777873221,non-IBD,18,0,18
318_19-48_2,1.7881849099999998,IBD,136,3,133
318_19-48_2,1.7881849099999998,non-IBD,28,0,28
318_19-66_5,1.399687087,IBD,64,0,64
318_19-66_5,1.399687087,non-IBD,40,0,40
318_21-335_1,1.028337466,IBD,52,0,52
318_21-335_1,1.028337466,non-IBD,323,3,320
318_21-66_5,1.398963115,IBD,104,0,104
318_21-66_5,1.398963115,non-IBD,165,0,165
318_24-338_1,1.062047622,IBD,84,0,84
318_24-338_1,1.062047622,non-IBD,12,0,12
318_24-48_2,1.7870053119999998,IBD,33,0,33
318_24-48_2,1.7870053119999998,non-IBD,12,0,12
318_24-66_5,1.398507489,IBD,27,0,27
318_24-66_5,1.398507489,non-IBD,12,0,12
318_38-335_1,1.0304847499999998,IBD,32,0,32
318_38-335_1,1.0304847499999998,non-IBD,113,0,113
318_56-326_1,0.59222312,IBD,27,0,27
318_56-326_1,0.59222312,non-IBD,120,5,115
318_56-32_1,1.7649473759999998,IBD,32,0,32
318_56-32_1,1.7649473759999998,non-IBD,258,0,258
318_56-334_1,1.0317779100000002,IBD,44,0,44
318_56-334_1,1.0317779100000002,non-IBD,229,0,229
318_56-335_1,1.028981413,IBD,842,0,842
318_56-335_1,1.028981413,non-IBD,3387,1,3386
318_56-338_1,1.063147195,IBD,292,0,292
318_56-338_1,1.063147195,non-IBD,2911,1,2910
318_56-39_5,1.774721962,IBD,14,0,14
318_56-39_5,1.774721962,non-IBD,110,0,110
318_56-42_2,1.765421608,IBD,14,0,14
318_56-42_2,1.765421608,non-IBD,116,0,116
318_56-44_1,1.7770827559999998,IBD,47,0,47
318_56-44_1,1.7770827559999998,non-IBD,97,0,97
318_56-44_3,1.777793196,IBD,22,0,22
318_56-44_3,1.777793196,non-IBD,233,0,233
318_56-45_1,1.857259509,IBD,291,0,291
318_56-45_1,1.857259509,non-IBD,1193,0,1193
318_56-48_2,1.788104885,IBD,65,0,65
318_56-48_2,1.788104885,non-IBD,547,2,545
318_56-66_5,1.399607062,IBD,138,0,138
318_56-66_5,1.399607062,non-IBD,1624,2,1622
318_56-96_1,1.825699729,IBD,12,0,12
318_56-96_1,1.825699729,non-IBD,103,0,103
321_1-66_5,1.4684910480000002,IBD,144,0,144
321_1-66_5,1.4684910480000002,non-IBD,22,0,22
325_1-335_1,1.0981230539999998,IBD,20,0,20
325_1-335_1,1.0981230539999998,non-IBD,39,0,39
325_1-338_1,1.132288836,IBD,13,0,13
325_1-338_1,1.132288836,non-IBD,52,0,52
325_1-66_5,1.4687487030000002,IBD,14,0,14
325_1-66_5,1.4687487030000002,non-IBD,15,0,15
326_1-32_1,1.814603062,IBD,135,0,135
326_1-32_1,1.814603062,non-IBD,63,0,63
326_1-334_1,1.081433596,IBD,161,0,161
326_1-334_1,1.081433596,non-IBD,29,0,29
326_1-335_1,1.0786370989999998,IBD,547,0,547
326_1-335_1,1.0786370989999998,non-IBD,521,0,521
326_1-338_1,1.112802881,IBD,529,0,529
326_1-338_1,1.112802881,non-IBD,1388,2,1386
326_1-39_5,1.824377648,IBD,70,0,70
326_1-39_5,1.824377648,non-IBD,30,0,30
326_1-44_1,1.826738442,IBD,29,0,29
326_1-44_1,1.826738442,non-IBD,41,0,41
326_1-44_3,1.827448882,IBD,38,0,38
326_1-44_3,1.827448882,non-IBD,46,0,46
326_1-45_1,1.906915195,IBD,204,0,204
326_1-45_1,1.906915195,non-IBD,217,0,217
326_1-48_2,1.837760571,IBD,113,0,113
326_1-48_2,1.837760571,non-IBD,363,0,363
326_1-66_5,1.4492627480000002,IBD,598,0,598
326_1-66_5,1.4492627480000002,non-IBD,716,14,702
326_1-90_1,1.7153295669999995,IBD,22,0,22
326_1-90_1,1.7153295669999995,non-IBD,21,0,21
326_1-96_1,1.875355415,IBD,32,0,32
326_1-96_1,1.875355415,non-IBD,67,0,67
326_1-97_1,1.907503496,IBD,11,0,11
326_1-97_1,1.907503496,non-IBD,40,0,40
32_1-334_1,1.898395326,IBD,183,0,183
32_1-334_1,1.898395326,non-IBD,119,0,119
32_1-334_3,1.9055416899999995,IBD,24,0,24
32_1-334_3,1.9055416899999995,non-IBD,108,0,108
32_1-335_1,1.895598829,IBD,382,0,382
32_1-335_1,1.895598829,non-IBD,1524,0,1524
32_1-336_1,1.913587377,IBD,56,0,56
32_1-336_1,1.913587377,non-IBD,14,0,14
32_1-338_1,1.929764611,IBD,385,0,385
32_1-338_1,1.929764611,non-IBD,1476,0,1476
32_1-39_5,0.1786090979999994,IBD,56,0,56
32_1-39_5,0.1786090979999994,non-IBD,73,30,43
32_1-42_2,0.124894834,IBD,17,6,11
32_1-42_2,0.124894834,non-IBD,102,32,70
32_1-43_1,0.1314838439999999,IBD,72,0,72
32_1-43_1,0.1314838439999999,non-IBD,72,12,60
32_1-44_1,0.1365559819999999,IBD,117,86,31
32_1-44_1,0.1365559819999999,non-IBD,64,17,47
32_1-44_3,0.1372664219999997,IBD,133,37,96
32_1-44_3,0.1372664219999997,non-IBD,139,17,122
32_1-45_1,0.4668945849999999,IBD,682,275,407
32_1-45_1,0.4668945849999999,non-IBD,693,285,408
32_1-46_1,0.2464073789999998,IBD,116,61,55
32_1-46_1,0.2464073789999998,non-IBD,142,32,110
32_1-48_2,0.1919920209999994,IBD,329,220,109
32_1-48_2,0.1919920209999994,non-IBD,432,141,291
32_1-66_5,1.808396306,IBD,617,0,617
32_1-66_5,1.808396306,non-IBD,913,9,904
32_1-90_1,2.278710531,IBD,22,0,22
32_1-90_1,2.278710531,non-IBD,41,0,41
32_1-97_1,2.47088446,IBD,27,0,27
32_1-97_1,2.47088446,non-IBD,42,0,42
330_1-335_1,0.240108116,IBD,12,0,12
330_1-335_1,0.240108116,non-IBD,494,0,494
330_1-338_1,0.2742738979999997,IBD,32,0,32
330_1-338_1,0.2742738979999997,non-IBD,748,0,748
330_1-45_1,2.009235643999999,IBD,84,0,84
330_1-45_1,2.009235643999999,non-IBD,416,0,416
330_1-66_5,1.551583197,IBD,38,0,38
330_1-66_5,1.551583197,non-IBD,373,0,373
330_1-97_1,2.009823945,IBD,18,0,18
330_1-97_1,2.009823945,non-IBD,63,0,63
334_1-335_1,0.053550731,IBD,460,0,460
334_1-335_1,0.053550731,non-IBD,1152,66,1086
334_1-338_1,0.2038262610000001,IBD,579,0,579
334_1-338_1,0.2038262610000001,non-IBD,1736,68,1668
334_1-39_5,1.908169912,IBD,63,0,63
334_1-39_5,1.908169912,non-IBD,60,0,60
334_1-42_2,1.898869558,IBD,17,0,17
334_1-42_2,1.898869558,non-IBD,137,0,137
334_1-43_1,1.905458568,IBD,18,0,18
334_1-43_1,1.905458568,non-IBD,46,0,46
334_1-44_1,1.910530706,IBD,40,0,40
334_1-44_1,1.910530706,non-IBD,96,0,96
334_1-44_3,1.911241146,IBD,13,0,13
334_1-44_3,1.911241146,non-IBD,163,0,163
334_1-45_1,1.990707459,IBD,616,0,616
334_1-45_1,1.990707459,non-IBD,928,0,928
334_1-48_2,1.921552835,IBD,328,0,328
334_1-48_2,1.921552835,non-IBD,287,0,287
334_1-66_3,1.5400972280000005,IBD,52,11,41
334_1-66_3,1.5400972280000005,non-IBD,63,0,63
334_1-66_5,1.533055012,IBD,260,0,260
334_1-66_5,1.533055012,non-IBD,797,0,797
334_1-90_1,1.7991218309999997,IBD,94,0,94
334_1-90_1,1.7991218309999997,non-IBD,16,0,16
334_1-96_1,1.959147679,IBD,52,0,52
334_1-96_1,1.959147679,non-IBD,96,0,96
334_1-97_1,1.99129576,IBD,43,0,43
334_1-97_1,1.99129576,non-IBD,107,0,107
334_3-335_1,0.0606970949999996,IBD,44,1,43
334_3-335_1,0.0606970949999996,non-IBD,2008,58,1950
334_3-338_1,0.2109726250000001,IBD,166,0,166
334_3-338_1,0.2109726250000001,non-IBD,1080,50,1030
334_3-45_1,1.997853823,IBD,18,0,18
334_3-45_1,1.997853823,non-IBD,369,0,369
334_3-48_2,1.928699199,IBD,13,0,13
334_3-48_2,1.928699199,non-IBD,229,0,229
334_3-66_5,1.540201376,IBD,545,0,545
334_3-66_5,1.540201376,non-IBD,506,0,506
335_1-336_1,0.1848525299999996,IBD,243,0,243
335_1-336_1,0.1848525299999996,non-IBD,299,0,299
335_1-338_1,0.2010297639999998,IBD,14435,36,14399
335_1-338_1,0.2010297639999998,non-IBD,25260,72,25188
335_1-33_1,1.895091957,IBD,56,0,56
335_1-33_1,1.895091957,non-IBD,201,0,201
335_1-36_1,1.913229349,IBD,20,0,20
335_1-36_1,1.913229349,non-IBD,210,0,210
335_1-37_1,1.906765762,IBD,63,0,63
335_1-37_1,1.906765762,non-IBD,236,0,236
335_1-39_2,1.900610418,IBD,20,0,20
335_1-39_2,1.900610418,non-IBD,318,0,318
335_1-39_5,1.905373415,IBD,142,0,142
335_1-39_5,1.905373415,non-IBD,1138,0,1138
335_1-40_1,1.902184303,IBD,12,0,12
335_1-40_1,1.902184303,non-IBD,41,0,41
335_1-41_1,1.909906104,IBD,36,0,36
335_1-41_1,1.909906104,non-IBD,11,0,11
335_1-42_2,1.896073061,IBD,282,0,282
335_1-42_2,1.896073061,non-IBD,1394,0,1394
335_1-43_1,1.902662071,IBD,24,0,24
335_1-43_1,1.902662071,non-IBD,1254,0,1254
335_1-44_1,1.907734209,IBD,1458,0,1458
335_1-44_1,1.907734209,non-IBD,982,0,982
335_1-44_3,1.9084446489999995,IBD,496,0,496
335_1-44_3,1.9084446489999995,non-IBD,2004,0,2004
335_1-45_1,1.987910962,IBD,10734,0,10734
335_1-45_1,1.987910962,non-IBD,14929,0,14929
335_1-46_1,1.856534338,IBD,594,0,594
335_1-46_1,1.856534338,non-IBD,4431,1,4430
335_1-47_2,1.860943853,IBD,72,0,72
335_1-47_2,1.860943853,non-IBD,149,0,149
335_1-48_2,1.918756338,IBD,2070,0,2070
335_1-48_2,1.918756338,non-IBD,6243,5,6238
335_1-4_3,1.80000899,IBD,80,0,80
335_1-4_3,1.80000899,non-IBD,94,0,94
335_1-50_1,1.913719255,IBD,42,0,42
335_1-50_1,1.913719255,non-IBD,475,0,475
335_1-52_1,1.920832326,IBD,68,0,68
335_1-52_1,1.920832326,non-IBD,158,0,158
335_1-66_3,1.537300731,IBD,19,0,19
335_1-66_3,1.537300731,non-IBD,392,0,392
335_1-66_4,1.5317403089999997,IBD,154,0,154
335_1-66_4,1.5317403089999997,non-IBD,107,0,107
335_1-66_5,1.5302585149999997,IBD,2377,16,2361
335_1-66_5,1.5302585149999997,non-IBD,17249,79,17170
335_1-76_2,1.5266323509999995,IBD,60,0,60
335_1-76_2,1.5266323509999995,non-IBD,266,0,266
335_1-90_1,1.7963253339999994,IBD,47,0,47
335_1-90_1,1.7963253339999994,non-IBD,759,0,759
335_1-92_1,1.8594421999999995,IBD,73,0,73
335_1-92_1,1.8594421999999995,non-IBD,318,0,318
335_1-96_1,1.956351182,IBD,783,0,783
335_1-96_1,1.956351182,non-IBD,1206,0,1206
335_1-97_1,1.988499263,IBD,1113,0,1113
335_1-97_1,1.988499263,non-IBD,1116,0,1116
335_1-9_2,1.6911678799999998,IBD,226,0,226
335_1-9_2,1.6911678799999998,non-IBD,153,0,153
336_1-338_1,0.1781277420000002,IBD,748,17,731
336_1-338_1,0.1781277420000002,non-IBD,167,4,163
336_1-42_2,1.914061609,IBD,20,0,20
336_1-42_2,1.914061609,non-IBD,26,0,26
336_1-45_1,2.00589951,IBD,591,0,591
336_1-45_1,2.00589951,non-IBD,52,0,52
336_1-48_2,1.936744886,IBD,168,0,168
336_1-48_2,1.936744886,non-IBD,33,0,33
336_1-66_5,1.548247063,IBD,961,0,961
336_1-66_5,1.548247063,non-IBD,106,0,106
338_1-33_1,1.929257739,IBD,77,0,77
338_1-33_1,1.929257739,non-IBD,69,0,69
338_1-36_1,1.947395131,IBD,40,0,40
338_1-36_1,1.947395131,non-IBD,117,0,117
338_1-37_1,1.940931544,IBD,15,0,15
338_1-37_1,1.940931544,non-IBD,296,0,296
338_1-39_2,1.9347762,IBD,13,0,13
338_1-39_2,1.9347762,non-IBD,187,0,187
338_1-39_5,1.939539197,IBD,93,0,93
338_1-39_5,1.939539197,non-IBD,907,11,896
338_1-40_1,1.936350085,IBD,72,0,72
338_1-40_1,1.936350085,non-IBD,19,0,19
338_1-42_2,1.930238843,IBD,414,0,414
338_1-42_2,1.930238843,non-IBD,1039,0,1039
338_1-43_1,1.9368278530000005,IBD,150,0,150
338_1-43_1,1.9368278530000005,non-IBD,843,0,843
338_1-44_1,1.941899991,IBD,1175,0,1175
338_1-44_1,1.941899991,non-IBD,458,0,458
338_1-44_3,1.942610431,IBD,1009,0,1009
338_1-44_3,1.942610431,non-IBD,1484,0,1484
338_1-44_5,1.944994172,IBD,20,0,20
338_1-44_5,1.944994172,non-IBD,33,0,33
338_1-45_1,2.022076744,IBD,9815,0,9815
338_1-45_1,2.022076744,non-IBD,10142,0,10142
338_1-46_1,1.89070012,IBD,695,0,695
338_1-46_1,1.89070012,non-IBD,2780,0,2780
338_1-48_2,1.95292212,IBD,2615,55,2560
338_1-48_2,1.95292212,non-IBD,3905,0,3905
338_1-4_3,1.834174772,IBD,18,0,18
338_1-4_3,1.834174772,non-IBD,50,0,50
338_1-50_1,1.947885037,IBD,11,0,11
338_1-50_1,1.947885037,non-IBD,173,0,173
338_1-52_1,1.954998108,IBD,128,0,128
338_1-52_1,1.954998108,non-IBD,130,0,130
338_1-66_3,1.571466513,IBD,31,0,31
338_1-66_3,1.571466513,non-IBD,389,0,389
338_1-66_5,1.5644242970000002,IBD,2449,36,2413
338_1-66_5,1.5644242970000002,non-IBD,10739,1,10738
338_1-90_1,1.830491116,IBD,148,0,148
338_1-90_1,1.830491116,non-IBD,423,0,423
338_1-96_1,1.990516964,IBD,526,0,526
338_1-96_1,1.990516964,non-IBD,990,0,990
338_1-97_1,2.022665045,IBD,275,0,275
338_1-97_1,2.022665045,non-IBD,1047,0,1047
338_1-9_2,1.725333662,IBD,36,0,36
338_1-9_2,1.725333662,non-IBD,163,0,163
36_1-66_5,1.826026826,IBD,12,0,12
36_1-66_5,1.826026826,non-IBD,64,0,64
37_1-45_1,0.4780615179999996,IBD,42,41,1
37_1-45_1,0.4780615179999996,non-IBD,193,34,159
37_1-48_2,0.2031589539999996,IBD,35,32,3
37_1-48_2,0.2031589539999996,non-IBD,34,26,8
39_1-66_5,1.811103476,IBD,12,0,12
39_1-66_5,1.811103476,non-IBD,23,0,23
39_5-48_2,0.1515735029999998,IBD,56,51,5
39_5-48_2,0.1515735029999998,non-IBD,378,189,189
39_5-66_5,1.818170892,IBD,98,0,98
39_5-66_5,1.818170892,non-IBD,449,0,449
40_1-48_2,0.1985774949999998,IBD,30,0,30
40_1-48_2,0.1985774949999998,non-IBD,22,6,16
40_1-66_5,1.81498178,IBD,24,0,24
40_1-66_5,1.81498178,non-IBD,15,0,15
42_2-44_1,0.071183086,IBD,39,34,5
42_2-44_1,0.071183086,non-IBD,30,15,15
42_2-44_3,0.0718935259999997,IBD,43,40,3
42_2-44_3,0.0718935259999997,non-IBD,139,62,77
42_2-45_1,0.4673688170000001,IBD,488,382,106
42_2-45_1,0.4673688170000001,non-IBD,766,199,567
42_2-46_1,0.246881611,IBD,19,9,10
42_2-46_1,0.246881611,non-IBD,220,88,132
42_2-48_2,0.1924662529999996,IBD,128,77,51
42_2-48_2,0.1924662529999996,non-IBD,289,129,160
42_2-66_5,1.808870538,IBD,102,0,102
42_2-66_5,1.808870538,non-IBD,655,0,655
42_2-96_1,2.439210611,IBD,38,0,38
42_2-96_1,2.439210611,non-IBD,51,0,51
43_1-44_1,0.0587964099999998,IBD,15,0,15
43_1-44_1,0.0587964099999998,non-IBD,44,31,13
43_1-44_3,0.05950685,IBD,15,12,3
43_1-44_3,0.05950685,non-IBD,101,78,23
43_1-45_1,0.473957827,IBD,141,113,28
43_1-45_1,0.473957827,non-IBD,475,145,330
43_1-46_1,0.2534706210000004,IBD,24,7,17
43_1-46_1,0.2534706210000004,non-IBD,138,44,94
43_1-48_2,0.1990552629999999,IBD,99,90,9
43_1-48_2,0.1990552629999999,non-IBD,227,139,88
43_1-66_5,1.815459548,IBD,27,0,27
43_1-66_5,1.815459548,non-IBD,505,2,503
44_1-44_3,0.018028584,IBD,37,25,12
44_1-44_3,0.018028584,non-IBD,50,22,28
44_1-45_1,0.4790299649999996,IBD,1166,557,609
44_1-45_1,0.4790299649999996,non-IBD,160,31,129
44_1-46_1,0.2585427589999995,IBD,47,47,0
44_1-46_1,0.2585427589999995,non-IBD,85,51,34
44_1-48_2,0.2041274009999996,IBD,213,167,46
44_1-48_2,0.2041274009999996,non-IBD,189,145,44
44_1-66_5,1.820531686,IBD,104,0,104
44_1-66_5,1.820531686,non-IBD,369,2,367
44_3-45_1,0.4797404049999998,IBD,750,336,414
44_3-45_1,0.4797404049999998,non-IBD,877,322,555
44_3-46_1,0.2592531990000002,IBD,59,23,36
44_3-46_1,0.2592531990000002,non-IBD,261,90,171
44_3-48_2,0.2048378409999998,IBD,347,260,87
44_3-48_2,0.2048378409999998,non-IBD,362,188,174
44_3-52_1,0.2069138289999998,IBD,12,4,8
44_3-52_1,0.2069138289999998,non-IBD,27,6,21
44_3-66_3,1.828284342,IBD,16,0,16
44_3-66_3,1.828284342,non-IBD,34,0,34
44_3-66_5,1.821242126,IBD,362,0,362
44_3-66_5,1.821242126,non-IBD,878,2,876
44_3-90_1,2.291556350999999,IBD,16,0,16
44_3-90_1,2.291556350999999,non-IBD,77,0,77
44_3-96_1,2.451582199,IBD,27,0,27
44_3-96_1,2.451582199,non-IBD,38,0,38
44_3-97_1,2.48373028,IBD,46,0,46
44_3-97_1,2.48373028,non-IBD,87,0,87
44_5-66_5,1.823625867,IBD,22,0,22
44_5-66_5,1.823625867,non-IBD,21,0,21
45_1-46_1,0.4278300939999995,IBD,897,269,628
45_1-46_1,0.4278300939999995,non-IBD,2093,909,1184
45_1-47_2,0.4322396089999998,IBD,60,58,2
45_1-47_2,0.4322396089999998,non-IBD,60,35,25
45_1-48_2,0.4900520939999997,IBD,2627,1882,745
45_1-48_2,0.4900520939999997,non-IBD,2014,1163,851
45_1-4_3,0.9941849159999996,IBD,120,56,64
45_1-4_3,0.9941849159999996,non-IBD,70,48,22
45_1-50_1,0.4850150109999998,IBD,39,8,31
45_1-50_1,0.4850150109999998,non-IBD,60,18,42
45_1-52_1,0.4921280819999998,IBD,58,0,58
45_1-52_1,0.4921280819999998,non-IBD,52,8,44
45_1-66_5,1.9007084389999995,IBD,1558,0,1558
45_1-66_5,1.9007084389999995,non-IBD,5816,26,5790
45_1-90_1,2.3710226639999994,IBD,224,0,224
45_1-90_1,2.3710226639999994,non-IBD,57,0,57
45_1-92_1,2.434139529999999,IBD,26,0,26
45_1-92_1,2.434139529999999,non-IBD,172,0,172
45_1-96_1,2.5310485119999995,IBD,559,0,559
45_1-96_1,2.5310485119999995,non-IBD,245,0,245
45_1-97_1,2.563196593,IBD,795,0,795
45_1-97_1,2.563196593,non-IBD,497,0,497
45_1-99_2,2.36313712,IBD,23,0,23
45_1-99_2,2.36313712,non-IBD,40,0,40
45_1-9_2,1.1428621299999997,IBD,114,2,112
45_1-9_2,1.1428621299999997,non-IBD,141,41,100
46_1-48_2,0.2695648880000001,IBD,64,53,11
46_1-48_2,0.2695648880000001,non-IBD,836,470,366
46_1-66_5,1.769331815,IBD,66,0,66
46_1-66_5,1.769331815,non-IBD,1820,3,1817
46_1-96_1,2.399671888,IBD,19,0,19
46_1-96_1,2.399671888,non-IBD,87,0,87
46_1-97_1,2.431819969,IBD,48,0,48
46_1-97_1,2.431819969,non-IBD,119,0,119
48_2-52_1,0.0959490999999999,IBD,20,17,3
48_2-52_1,0.0959490999999999,non-IBD,67,21,46
48_2-66_3,1.838596031,IBD,24,0,24
48_2-66_3,1.838596031,non-IBD,13,0,13
48_2-66_5,1.831553815,IBD,680,0,680
48_2-66_5,1.831553815,non-IBD,2836,6,2830
48_2-90_1,2.301868039999999,IBD,26,0,26
48_2-90_1,2.301868039999999,non-IBD,71,0,71
48_2-96_1,2.461893888,IBD,25,0,25
48_2-96_1,2.461893888,non-IBD,225,0,225
48_2-97_1,2.4940419689999995,IBD,81,0,81
48_2-97_1,2.4940419689999995,non-IBD,228,0,228
50_1-97_1,2.489004886,IBD,11,0,11
50_1-97_1,2.489004886,non-IBD,14,0,14
52_1-66_5,1.833629803,IBD,16,0,16
52_1-66_5,1.833629803,non-IBD,61,0,61
66_3-66_5,0.0120697439999997,IBD,20,9,11
66_3-66_5,0.0120697439999997,non-IBD,46,2,44
66_5-76_2,0.0801062999999997,IBD,557,0,557
66_5-76_2,0.0801062999999997,non-IBD,159,17,142
66_5-90_1,1.9133702169999995,IBD,55,0,55
66_5-90_1,1.9133702169999995,non-IBD,343,0,343
66_5-96_1,2.073396065,IBD,181,0,181
66_5-96_1,2.073396065,non-IBD,538,0,538
66_5-97_1,2.105544146,IBD,180,0,180
66_5-97_1,2.105544146,non-IBD,686,0,686
66_5-99_2,1.905484673,IBD,11,0,11
66_5-99_2,1.905484673,non-IBD,58,0,58
96_1-97_1,0.111470047,IBD,91,10,81
96_1-97_1,0.111470047,non-IBD,69,12,57
