species_pair,phenotype_group,total_genome_pair,positive_genome_pair,transfer_rate,phylogeny,diff
10_1-335_1,IBD,40,0,0,1.6868521560000005,0
10_1-335_1,non-IBD,50,0,0,1.6868521560000005,0
10_1-338_1,IBD,26,0,0,1.721017938,0
10_1-338_1,non-IBD,43,0,0,1.721017938,0
10_1-48_2,IBD,16,0,0,1.0693917819999998,0
10_1-48_2,non-IBD,14,0,0,1.0693917819999998,0
10_1-66_5,IBD,28,0,0,1.599649633,0
10_1-66_5,non-IBD,16,0,0,1.599649633,0
10_2-26_2,IBD,15,0,0,1.1620874209999994,-0.26865671641791045
10_2-26_2,non-IBD,67,18,0.26865671641791045,1.1620874209999994,-0.26865671641791045
10_2-32_1,IBD,11,1,0.09090909090909091,1.0463501019999994,-0.009090909090909094
10_2-32_1,non-IBD,30,3,0.1,1.0463501019999994,-0.009090909090909094
10_2-334_1,IBD,11,0,0,1.689764482,0
10_2-334_1,non-IBD,77,0,0,1.689764482,0
10_2-335_1,IBD,121,0,0,1.6869679849999997,0
10_2-335_1,non-IBD,1438,0,0,1.6869679849999997,0
10_2-338_1,IBD,161,0,0,1.7211337670000002,0
10_2-338_1,non-IBD,780,0,0,1.7211337670000002,0
10_2-44_3,IBD,33,17,0.5151515151515151,1.0591959219999998,0.2910135841170324
10_2-44_3,non-IBD,58,13,0.22413793103448276,1.0591959219999998,0.2910135841170324
10_2-45_1,IBD,216,34,0.1574074074074074,1.1386622349999995,-0.1267017418702812
10_2-45_1,non-IBD,623,177,0.2841091492776886,1.1386622349999995,-0.1267017418702812
10_2-48_2,IBD,71,39,0.5492957746478874,1.0695076109999997,0.23628764456658657
10_2-48_2,non-IBD,246,77,0.3130081300813008,1.0695076109999997,0.23628764456658657
10_2-66_5,IBD,18,0,0,1.599765462,0
10_2-66_5,non-IBD,488,0,0,1.599765462,0
10_2-96_1,IBD,15,0,0,2.230105535,0
10_2-96_1,non-IBD,31,0,0,2.230105535,0
10_2-97_1,IBD,36,0,0,2.262253616,0
10_2-97_1,non-IBD,37,0,0,2.262253616,0
101_1-102_1,IBD,21,0,0,0.9496774879999998,0
101_1-102_1,non-IBD,13,0,0,0.9496774879999998,0
101_1-335_1,IBD,608,0,0,2.022973672,0
101_1-335_1,non-IBD,403,0,0,2.022973672,0
101_1-338_1,IBD,104,0,0,2.057139454,0
101_1-338_1,non-IBD,347,0,0,2.057139454,0
101_1-66_5,IBD,78,0,0,2.140018555,0
101_1-66_5,non-IBD,163,0,0,2.140018555,0
102_1-120_1,IBD,36,0,0,0.7895888919999994,0
102_1-120_1,non-IBD,29,0,0,0.7895888919999994,0
102_1-229_3,IBD,65,0,0,0.9209054669999994,0
102_1-229_3,non-IBD,84,0,0,0.9209054669999994,0
102_1-238_3,IBD,24,0,0,0.9013490939999992,0
102_1-238_3,non-IBD,21,0,0,0.9013490939999992,0
102_1-32_1,IBD,14,0,0,2.561545438999999,0
102_1-32_1,non-IBD,26,0,0,2.561545438999999,0
102_1-334_1,IBD,13,0,0,2.081956739,0
102_1-334_1,non-IBD,42,0,0,2.081956739,0
102_1-335_1,IBD,202,0,0,2.0791602419999995,0
102_1-335_1,non-IBD,834,0,0,2.0791602419999995,0
102_1-338_1,IBD,63,0,0,2.113326023999999,0
102_1-338_1,non-IBD,524,0,0,2.113326023999999,0
102_1-45_1,IBD,38,0,0,2.653857572,0
102_1-45_1,non-IBD,333,0,0,2.653857572,0
102_1-48_2,IBD,47,0,0,2.584702947999999,0
102_1-48_2,non-IBD,195,0,0,2.584702947999999,0
102_1-66_5,IBD,150,0,0,2.196205124999999,0
102_1-66_5,non-IBD,310,0,0,2.196205124999999,0
102_2-32_1,IBD,62,0,0,2.5619510559999994,0
102_2-32_1,non-IBD,23,0,0,2.5619510559999994,0
102_2-334_1,IBD,23,0,0,2.082362356,0
102_2-334_1,non-IBD,27,0,0,2.082362356,0
102_2-335_1,IBD,72,0,0,2.079565859,0
102_2-335_1,non-IBD,305,0,0,2.079565859,0
102_2-338_1,IBD,27,0,0,2.113731641,0
102_2-338_1,non-IBD,153,0,0,2.113731641,0
102_2-45_1,IBD,54,0,0,2.654263188999999,0
102_2-45_1,non-IBD,86,0,0,2.654263188999999,0
102_2-46_1,IBD,12,0,0,2.522886564999999,0
102_2-46_1,non-IBD,18,0,0,2.522886564999999,0
102_2-48_2,IBD,14,0,0,2.585108564999999,0
102_2-48_2,non-IBD,56,0,0,2.585108564999999,0
102_2-66_5,IBD,26,0,0,2.1966107419999994,0
102_2-66_5,non-IBD,141,0,0,2.1966107419999994,0
102_2-97_1,IBD,14,0,0,0.7306782959999998,0
102_2-97_1,non-IBD,17,0,0,0.7306782959999998,0
109_1-326_1,IBD,13,0,0,1.944506526,0
109_1-326_1,non-IBD,18,0,0,1.944506526,0
109_1-335_1,IBD,20,0,0,2.025502293,0
109_1-335_1,non-IBD,56,0,0,2.025502293,0
109_1-338_1,IBD,13,0,0,2.059668075,0
109_1-338_1,non-IBD,22,0,0,2.059668075,0
109_1-66_5,IBD,23,0,0,2.142547175999999,0
109_1-66_5,non-IBD,23,0,0,2.142547175999999,0
11_1-335_1,IBD,62,0,0,1.6702016459999995,0
11_1-335_1,non-IBD,282,0,0,1.6702016459999995,0
11_1-338_1,IBD,20,0,0,1.704367428,0
11_1-338_1,non-IBD,148,0,0,1.704367428,0
11_1-66_5,IBD,13,0,0,1.5829991229999998,0
11_1-66_5,non-IBD,192,0,0,1.5829991229999998,0
111_1-45_1,IBD,70,0,0,2.5883892269999995,0
111_1-45_1,non-IBD,86,0,0,2.5883892269999995,0
112_1-179_1,IBD,18,0,0,1.3806238750000004,0
112_1-179_1,non-IBD,35,0,0,1.3806238750000004,0
112_1-229_3,IBD,47,0,0,0.8605092879999998,0
112_1-229_3,non-IBD,142,0,0,0.8605092879999998,0
112_1-233_3,IBD,12,0,0,0.8628419250000001,0
112_1-233_3,non-IBD,14,0,0,0.8628419250000001,0
112_1-238_3,IBD,12,0,0,0.8409529149999999,0
112_1-238_3,non-IBD,21,0,0,0.8409529149999999,0
112_1-26_2,IBD,29,0,0,2.6168865789999995,0
112_1-26_2,non-IBD,104,0,0,2.6168865789999995,0
112_1-32_1,IBD,69,0,0,2.50114926,0
112_1-32_1,non-IBD,46,0,0,2.50114926,0
112_1-326_1,IBD,22,0,0,1.937768296,0
112_1-326_1,non-IBD,58,0,0,1.937768296,0
112_1-334_1,IBD,15,0,0,2.02156056,0
112_1-334_1,non-IBD,81,0,0,2.02156056,0
112_1-335_1,IBD,288,0,0,2.018764063,0
112_1-335_1,non-IBD,1311,0,0,2.018764063,0
112_1-336_1,IBD,87,0,0,2.036752611,0
112_1-336_1,non-IBD,12,0,0,2.036752611,0
112_1-338_1,IBD,456,0,0,2.0529298450000004,0
112_1-338_1,non-IBD,695,0,0,2.0529298450000004,0
112_1-43_1,IBD,12,0,0,2.508212502,0
112_1-43_1,non-IBD,53,0,0,2.508212502,0
112_1-44_1,IBD,25,0,0,2.51328464,0
112_1-44_1,non-IBD,27,0,0,2.51328464,0
112_1-44_3,IBD,20,0,0,2.51399508,0
112_1-44_3,non-IBD,80,0,0,2.51399508,0
112_1-45_1,IBD,398,0,0,2.593461393,0
112_1-45_1,non-IBD,346,0,0,2.593461393,0
112_1-46_1,IBD,30,0,0,2.462084769,0
112_1-46_1,non-IBD,153,0,0,2.462084769,0
112_1-48_2,IBD,92,0,0,2.524306769,0
112_1-48_2,non-IBD,401,0,0,2.524306769,0
112_1-66_3,IBD,24,0,0,2.142851162,0
112_1-66_3,non-IBD,27,0,0,2.142851162,0
112_1-66_5,IBD,148,0,0,2.135808946,0
112_1-66_5,non-IBD,677,0,0,2.135808946,0
112_1-96_1,IBD,28,0,0,0.8226588190000004,-0.10256410256410256
112_1-96_1,non-IBD,39,4,0.10256410256410256,0.8226588190000004,-0.10256410256410256
112_1-97_1,IBD,37,0,0,0.8548069000000003,-0.047619047619047616
112_1-97_1,non-IBD,42,2,0.047619047619047616,0.8548069000000003,-0.047619047619047616
113_1-335_1,IBD,120,0,0,1.980763898,0
113_1-335_1,non-IBD,12,0,0,1.980763898,0
113_1-338_1,IBD,24,0,0,2.01492968,0
113_1-338_1,non-IBD,27,0,0,2.01492968,0
113_1-66_5,IBD,23,0,0,2.097808781,0
113_1-66_5,non-IBD,23,0,0,2.097808781,0
114_1-66_5,IBD,26,0,0,2.093654822,0
114_1-66_5,non-IBD,97,0,0,2.093654822,0
114_1-96_1,IBD,12,12,1,0.7805046950000003,1
114_1-96_1,non-IBD,16,0,0,0.7805046950000003,1
114_2-334_1,IBD,12,0,0,1.979124192,0
114_2-334_1,non-IBD,115,0,0,1.979124192,0
114_2-338_1,IBD,26,0,0,2.010493477,0
114_2-338_1,non-IBD,121,0,0,2.010493477,0
114_2-45_1,IBD,91,0,0,2.5510250249999995,0
114_2-45_1,non-IBD,117,0,0,2.5510250249999995,0
114_2-48_2,IBD,51,0,0,2.481870401,0
114_2-48_2,non-IBD,23,0,0,2.481870401,0
119_1-120_1,IBD,31,0,0,0.1042140119999999,0
119_1-120_1,non-IBD,18,0,0,0.1042140119999999,0
119_1-283_1,IBD,12,0,0,1.4181970749999997,0
119_1-283_1,non-IBD,66,0,0,1.4181970749999997,0
119_1-334_3,IBD,61,0,0,1.873029263,0
119_1-334_3,non-IBD,18,0,0,1.873029263,0
119_1-335_1,IBD,197,0,0,1.8630864019999995,0
119_1-335_1,non-IBD,937,0,0,1.8630864019999995,0
119_1-338_1,IBD,49,0,0,1.897252184,0
119_1-338_1,non-IBD,522,0,0,1.897252184,0
119_1-66_5,IBD,115,0,0,1.980131285,0
119_1-66_5,non-IBD,508,0,0,1.980131285,0
12_1-32_1,IBD,18,0,0,1.0361317329999995,0
12_1-32_1,non-IBD,15,0,0,1.0361317329999995,0
120_1-229_3,IBD,52,0,0,0.7046303009999995,0
120_1-229_3,non-IBD,85,0,0,0.7046303009999995,0
120_1-334_3,IBD,41,0,0,1.872827937,0
120_1-334_3,non-IBD,36,0,0,1.872827937,0
120_1-335_1,IBD,619,0,0,1.8628850759999995,0
120_1-335_1,non-IBD,439,0,0,1.8628850759999995,0
120_1-338_1,IBD,151,0,0,1.897050858,0
120_1-338_1,non-IBD,198,0,0,1.897050858,0
120_1-45_1,IBD,32,0,0,2.437582406,0
120_1-45_1,non-IBD,80,0,0,2.437582406,0
120_1-48_2,IBD,11,0,0,2.3684277819999995,0
120_1-48_2,non-IBD,88,0,0,2.3684277819999995,0
120_1-66_5,IBD,355,0,0,1.979929959,0
120_1-66_5,non-IBD,133,0,0,1.979929959,0
120_1-76_2,IBD,214,0,0,1.976303795,0
120_1-76_2,non-IBD,12,0,0,1.976303795,0
121_1-338_1,IBD,12,0,0,2.006983463,0
121_1-338_1,non-IBD,128,0,0,2.006983463,0
121_1-45_1,IBD,22,0,0,2.547515011,0
121_1-45_1,non-IBD,72,0,0,2.547515011,0
121_1-66_5,IBD,65,0,0,2.089862564,0
121_1-66_5,non-IBD,67,0,0,2.089862564,0
121_1-97_1,IBD,15,0,0,0.8088605179999999,0
121_1-97_1,non-IBD,17,0,0,0.8088605179999999,0
125_1-229_3,IBD,34,0,0,0.7320696649999996,0
125_1-229_3,non-IBD,106,0,0,0.7320696649999996,0
125_1-233_3,IBD,12,0,0,0.7344023019999999,0
125_1-233_3,non-IBD,12,0,0,0.7344023019999999,0
125_1-335_1,IBD,80,0,0,1.89032444,0
125_1-335_1,non-IBD,1129,0,0,1.89032444,0
125_1-338_1,IBD,107,0,0,1.924490222,0
125_1-338_1,non-IBD,632,0,0,1.924490222,0
125_1-42_2,IBD,28,0,0,2.373183869,0
125_1-42_2,non-IBD,44,0,0,2.373183869,0
125_1-44_3,IBD,25,0,0,2.385555457,0
125_1-44_3,non-IBD,27,0,0,2.385555457,0
125_1-45_1,IBD,263,0,0,2.465021769999999,0
125_1-45_1,non-IBD,268,0,0,2.465021769999999,0
125_1-48_2,IBD,33,0,0,2.395867146,0
125_1-48_2,non-IBD,186,0,0,2.395867146,0
125_1-66_5,IBD,16,0,0,2.007369323,0
125_1-66_5,non-IBD,407,0,0,2.007369323,0
125_1-96_1,IBD,33,0,0,0.6942191960000001,0
125_1-96_1,non-IBD,53,0,0,0.6942191960000001,0
125_1-97_1,IBD,22,0,0,0.726367277,-0.014705882352941176
125_1-97_1,non-IBD,68,1,0.014705882352941176,0.726367277,-0.014705882352941176
13_1-335_1,IBD,143,0,0,1.6055784729999998,0
13_1-335_1,non-IBD,213,0,0,1.6055784729999998,0
13_1-338_1,IBD,109,0,0,1.639744255,0
13_1-338_1,non-IBD,160,0,0,1.639744255,0
13_1-45_1,IBD,121,4,0.03305785123966942,1.0572727229999992,0.01382708200890019
13_1-45_1,non-IBD,52,1,0.019230769230769232,1.0572727229999992,0.01382708200890019
13_1-48_2,IBD,42,3,0.07142857142857142,0.9881180989999998,-0.019480519480519487
13_1-48_2,non-IBD,22,2,0.09090909090909091,0.9881180989999998,-0.019480519480519487
13_1-66_5,IBD,26,0,0,1.51837595,0
13_1-66_5,non-IBD,62,0,0,1.51837595,0
14_1-229_3,IBD,55,0,0,2.177840413,0
14_1-229_3,non-IBD,31,0,0,2.177840413,0
14_1-335_1,IBD,189,0,0,1.758653134,0
14_1-335_1,non-IBD,442,0,0,1.758653134,0
14_1-338_1,IBD,201,0,0,1.7928189159999997,0
14_1-338_1,non-IBD,221,0,0,1.7928189159999997,0
14_1-42_2,IBD,27,0,0,0.8609911590000001,-0.15151515151515152
14_1-42_2,non-IBD,33,5,0.15151515151515152,0.8609911590000001,-0.15151515151515152
14_1-44_3,IBD,42,10,0.23809523809523808,0.8733627469999998,-0.14652014652014655
14_1-44_3,non-IBD,26,10,0.38461538461538464,0.8733627469999998,-0.14652014652014655
14_1-45_1,IBD,219,3,0.0136986301369863,0.9528290599999996,-0.2976221245799948
14_1-45_1,non-IBD,106,33,0.3113207547169811,0.9528290599999996,-0.2976221245799948
14_1-48_2,IBD,60,6,0.1,0.8836744359999997,-0.0875
14_1-48_2,non-IBD,96,18,0.1875,0.8836744359999997,-0.0875
14_1-66_5,IBD,73,0,0,1.6714506109999998,0
14_1-66_5,non-IBD,161,0,0,1.6714506109999998,0
14_1-96_1,IBD,14,0,0,2.301790684,0
14_1-96_1,non-IBD,15,0,0,2.301790684,0
14_1-97_1,IBD,29,0,0,2.333938765,0
14_1-97_1,non-IBD,15,0,0,2.333938765,0
171_1-66_5,IBD,26,0,0,1.98513711,0
171_1-66_5,non-IBD,25,0,0,1.98513711,0
179_1-229_3,IBD,90,0,0,1.1942607229999993,0
179_1-229_3,non-IBD,74,0,0,1.1942607229999993,0
179_1-233_3,IBD,26,0,0,1.1965933599999996,0
179_1-233_3,non-IBD,20,0,0,1.1965933599999996,0
179_1-26_2,IBD,54,0,0,2.199409874,0
179_1-26_2,non-IBD,11,0,0,2.199409874,0
179_1-338_1,IBD,54,0,0,1.63545314,0
179_1-338_1,non-IBD,130,0,0,1.63545314,0
179_1-46_1,IBD,13,0,0,2.044608064,0
179_1-46_1,non-IBD,22,0,0,2.044608064,0
179_1-48_2,IBD,12,0,0,2.106830064,0
179_1-48_2,non-IBD,15,0,0,2.106830064,0
180_1-229_3,IBD,30,0,0,1.206736487999999,0
180_1-229_3,non-IBD,26,0,0,1.206736487999999,0
180_1-238_3,IBD,45,0,0,1.1871801149999994,0
180_1-238_3,non-IBD,63,0,0,1.1871801149999994,0
180_1-335_1,IBD,12,0,0,1.6137631229999998,0
180_1-335_1,non-IBD,74,0,0,1.6137631229999998,0
180_1-338_1,IBD,72,0,0,1.6479289049999994,0
180_1-338_1,non-IBD,41,0,0,1.6479289049999994,0
180_1-45_1,IBD,78,0,0,2.188460453,0
180_1-45_1,non-IBD,18,0,0,2.188460453,0
180_1-48_2,IBD,30,0,0,2.1193058289999995,0
180_1-48_2,non-IBD,18,0,0,2.1193058289999995,0
180_1-66_5,IBD,154,0,0,1.7308080059999995,0
180_1-66_5,non-IBD,74,0,0,1.7308080059999995,0
181_3-229_3,IBD,19,0,0,1.2014751089999995,0
181_3-229_3,non-IBD,95,0,0,1.2014751089999995,0
181_3-335_1,IBD,24,0,0,1.6085017439999996,0
181_3-335_1,non-IBD,211,0,0,1.6085017439999996,0
181_3-338_1,IBD,17,0,0,1.6426675259999997,0
181_3-338_1,non-IBD,99,0,0,1.6426675259999997,0
181_3-45_1,IBD,30,0,0,2.183199074,0
181_3-45_1,non-IBD,21,0,0,2.183199074,0
181_3-66_5,IBD,23,0,0,1.7255466269999995,0
181_3-66_5,non-IBD,70,0,0,1.7255466269999995,0
192_1-335_1,IBD,20,0,0,1.617319461,0
192_1-335_1,non-IBD,33,0,0,1.617319461,0
192_1-338_1,IBD,13,0,0,1.6514852429999995,0
192_1-338_1,non-IBD,96,0,0,1.6514852429999995,0
193_2-45_1,IBD,29,0,0,2.2214150269999995,0
193_2-45_1,non-IBD,276,0,0,2.2214150269999995,0
20_1-226_1,IBD,32,0,0,2.3182823059999995,0
20_1-226_1,non-IBD,11,0,0,2.3182823059999995,0
20_1-26_2,IBD,14,0,0,0.1399771210000002,-0.45454545454545453
20_1-26_2,non-IBD,44,20,0.45454545454545453,0.1399771210000002,-0.45454545454545453
20_1-32_1,IBD,36,28,0.7777777777777778,0.4778416559999998,0.4329501915708812
20_1-32_1,non-IBD,29,10,0.3448275862068966,0.4778416559999998,0.4329501915708812
20_1-334_1,IBD,39,0,0,2.00165453,0
20_1-334_1,non-IBD,12,0,0,2.00165453,0
20_1-335_1,IBD,346,0,0,1.998858033,0
20_1-335_1,non-IBD,709,0,0,1.998858033,0
20_1-338_1,IBD,120,0,0,2.033023815,0
20_1-338_1,non-IBD,402,0,0,2.033023815,0
20_1-39_5,IBD,21,21,1,0.4876162420000001,0.96
20_1-39_5,non-IBD,25,1,0.04,0.4876162420000001,0.96
20_1-45_1,IBD,285,75,0.2631578947368421,0.1653756569999998,0.16219635627530363
20_1-45_1,non-IBD,208,21,0.10096153846153846,0.1653756569999998,0.16219635627530363
20_1-46_1,IBD,14,12,0.8571428571428571,0.4387771649999998,0.6840659340659341
20_1-46_1,non-IBD,52,9,0.17307692307692307,0.4387771649999998,0.6840659340659341
20_1-48_2,IBD,102,42,0.4117647058823529,0.5009991650000001,0.14689984101748804
20_1-48_2,non-IBD,185,49,0.2648648648648649,0.5009991650000001,0.14689984101748804
20_1-66_5,IBD,44,0,0,1.91165551,0
20_1-66_5,non-IBD,368,0,0,1.91165551,0
20_1-9_2,IBD,14,14,1,1.1538092009999996,0.2857142857142857
20_1-9_2,non-IBD,14,10,0.7142857142857143,1.1538092009999996,0.2857142857142857
20_1-97_1,IBD,77,0,0,2.574143664,0
20_1-97_1,non-IBD,37,0,0,2.574143664,0
204_1-335_1,IBD,12,0,0,1.6338713679999992,0
204_1-335_1,non-IBD,75,0,0,1.6338713679999992,0
204_1-66_5,IBD,26,0,0,1.7509162509999996,0
204_1-66_5,non-IBD,183,0,0,1.7509162509999996,0
219_1-331_1,IBD,30,0,0,1.712690181,0
219_1-331_1,non-IBD,15,0,0,1.712690181,0
219_1-335_1,IBD,690,0,0,1.7127893999999997,0
219_1-335_1,non-IBD,164,0,0,1.7127893999999997,0
219_1-338_1,IBD,330,0,0,1.7469551819999996,0
219_1-338_1,non-IBD,116,0,0,1.7469551819999996,0
219_1-66_5,IBD,120,0,0,1.829834283,0
219_1-66_5,non-IBD,33,0,0,1.829834283,0
223_1-335_1,IBD,126,0,0,1.7456674569999997,0
223_1-335_1,non-IBD,584,0,0,1.7456674569999997,0
223_1-338_1,IBD,182,0,0,1.7798332389999996,0
223_1-338_1,non-IBD,301,0,0,1.7798332389999996,0
223_1-66_5,IBD,189,0,0,1.86271234,0
223_1-66_5,non-IBD,253,0,0,1.86271234,0
224_1-335_1,IBD,32,0,0,1.7403169809999997,0
224_1-335_1,non-IBD,126,0,0,1.7403169809999997,0
224_1-338_1,IBD,85,0,0,1.7744827629999995,0
224_1-338_1,non-IBD,36,0,0,1.7744827629999995,0
224_1-45_1,IBD,46,0,0,2.315014310999999,0
224_1-45_1,non-IBD,13,0,0,2.315014310999999,0
224_1-48_2,IBD,14,0,0,2.245859687,0
224_1-48_2,non-IBD,27,0,0,2.245859687,0
224_1-66_5,IBD,99,0,0,1.857361864,0
224_1-66_5,non-IBD,55,0,0,1.857361864,0
