trait,trait_id,cohort,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.00196, 0.0714]",0.04270351334285707,0.11851386708529567,35,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.0714, 0.138]",0.10732227733333327,0.010636365726371933,15,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.138, 0.204]",0.1691186350769231,0.0,13,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.204, 0.271]",0.22735536893548366,0.0014536193073401633,31,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.271, 0.337]",0.2940366691818182,0.0404040404040404,11,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.337, 0.404]",0.3735918360000001,0.0,2,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.404, 0.47]",0.43443469399999984,0.0,7,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.47, 0.537]",0.5137702114285714,0.0,21,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.537, 0.603]",0.5633792630555555,0.02385877518856242,18,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.603, 0.67]",0.6369141053749998,0.0,32,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.67, 0.736]",0.7121352497021274,0.002476048276720169,47,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.736, 0.803]",0.7745196034255316,0.02507598784194529,47,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.803, 0.869]",0.8403893933150682,0.0014907872882608188,73,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.869, 0.936]",0.9000559386097557,0.004065040650406504,41,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(0.936, 1.002]",0.954462506833333,0.011904761904761904,12,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.002, 1.069]",1.0259194119999995,0.0,2,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.069, 1.135]",1.0767957569999993,0.0,1,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.667, 1.734]",1.7048602709999998,0.0,1,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.734, 1.8]",1.7753558349999998,0.0,6,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.8, 1.867]",1.8460816045714286,0.0,14,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.867, 1.933]",1.9069453583478257,0.0,23,22
obligate anaerobic,obligate_anaerobic,Dutch,0,"(1.933, 2.0]",1.9553283912537311,0.0,67,22
obligate anaerobic,obligate_anaerobic,Dutch,1,"(0.537, 0.603]",0.5710771430000001,0.0,1,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(0.67, 0.736]",0.7316080726666664,0.0,3,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(0.736, 0.803]",0.7605730637999999,0.0,5,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(0.803, 0.869]",0.854423433,0.0,1,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(0.869, 0.936]",0.9034553926249999,0.0,8,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(0.936, 1.002]",0.9689996024545451,0.03329065300896287,11,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.002, 1.069]",1.0443336959999996,0.0,3,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.069, 1.135]",1.1105052568461535,0.0,13,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.135, 1.202]",1.1870502736666664,0.0,30,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.202, 1.268]",1.2233626485897433,0.0,39,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.268, 1.335]",1.2997123243571427,0.0,14,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.335, 1.401]",1.3803931486463412,1.3842363168240081e-05,82,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.401, 1.468]",1.4308091349130434,0.00015441290009485364,69,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.468, 1.534]",1.5096703770999997,6.915025258039627e-05,70,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.534, 1.601]",1.5660748184555555,0.0010939750527122448,90,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.601, 1.667]",1.6331786328936166,0.0,47,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.667, 1.734]",1.7048362122368417,0.0,114,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.734, 1.8]",1.7654412396179773,1.787267506285224e-05,89,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.8, 1.867]",1.8302602161465515,9.329229353015822e-05,232,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.867, 1.933]",1.8962574055746269,0.00107212983110275,134,21
obligate anaerobic,obligate_anaerobic,Dutch,1,"(1.933, 2.0]",1.9659405770365852,0.00037277665353072743,82,21
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.00196, 0.0714]",0.03372129126923067,0.2809763424111566,52,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.0714, 0.138]",0.10316340930434773,0.28255338009701564,23,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.138, 0.204]",0.18090453869230755,0.2537679315817595,78,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.204, 0.271]",0.23829033110416661,0.26573902054983506,48,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.271, 0.337]",0.29165221642857125,0.12142857142857143,7,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.337, 0.404]",0.3760084965999999,0.07058823529411765,5,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.404, 0.47]",0.4406225864166666,0.24327027089903322,24,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.47, 0.537]",0.49568718748717927,0.18562338627540603,78,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.537, 0.603]",0.5833650419230769,0.09168525709879094,13,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.603, 0.67]",0.61162557925,0.0,4,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.67, 0.736]",0.6842550529999998,0.0,1,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.736, 0.803]",0.7730750399999997,0.0,1,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.803, 0.869]",0.8573154271666664,0.1833718364968365,12,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.869, 0.936]",0.9018256344999998,0.3067541979312995,32,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(0.936, 1.002]",0.9724578916666663,0.05436967061528465,15,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.002, 1.069]",1.0438542120431653,0.053434942700960365,139,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.069, 1.135]",1.0908452374411763,0.018506729357288653,34,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.135, 1.202]",1.1562686235769226,0.08508155075703185,26,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.202, 1.268]",1.2349719751,0.0,20,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.268, 1.335]",1.2996218300666664,0.0,15,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.335, 1.401]",1.3686456432307692,0.0,13,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.401, 1.468]",1.4320921626999998,0.0,10,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.468, 1.534]",1.4966947948620688,0.0,29,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.534, 1.601]",1.5639038793620688,0.0,58,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.601, 1.667]",1.6312003586533332,0.0,75,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.667, 1.734]",1.7016167055624998,0.0005122950819672131,96,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.734, 1.8]",1.7742395249617484,0.004975134129354794,183,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.8, 1.867]",1.8364398755346536,0.0010630801359362058,101,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.867, 1.933]",1.900109493582857,3.427885851401148e-06,175,30
obligate anaerobic,obligate_anaerobic,Dutch,2,"(1.933, 2.0]",1.9611025359552237,0.00012578846496905604,67,30
obligate anaerobic,obligate_anaerobic,US,0,"(0.00827, 0.0775]",0.053732602181817926,0.18181818181818182,11,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.0775, 0.144]",0.10640494799999986,0.002840909090909091,4,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.144, 0.21]",0.15842698650000026,0.0,2,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.21, 0.276]",0.22760715444444424,0.0,9,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.343, 0.409]",0.3599235919999999,0.0,1,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.409, 0.475]",0.4595641379999997,0.0,1,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.475, 0.541]",0.5256963071666667,0.1111111111111111,6,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.541, 0.608]",0.5698778633333333,0.0,3,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.608, 0.674]",0.651639091272727,0.0,11,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.674, 0.74]",0.709204199210526,0.0,19,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.74, 0.806]",0.7859567596666666,0.0,9,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.806, 0.873]",0.8418791721428571,0.0,21,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.873, 0.939]",0.9193884933999994,0.0,5,18
obligate anaerobic,obligate_anaerobic,US,0,"(0.939, 1.005]",0.9514073289999997,0.0,3,18
obligate anaerobic,obligate_anaerobic,US,0,"(1.668, 1.734]",1.7048602709999998,0.0,1,18
obligate anaerobic,obligate_anaerobic,US,0,"(1.8, 1.867]",1.8585666993333332,0.0,3,18
obligate anaerobic,obligate_anaerobic,US,0,"(1.867, 1.933]",1.9198711979999996,0.0,4,18
obligate anaerobic,obligate_anaerobic,US,0,"(1.933, 1.999]",1.9582803883529412,0.0,17,18
obligate anaerobic,obligate_anaerobic,US,1,"(0.674, 0.74]",0.7304731619999996,0.0,1,18
obligate anaerobic,obligate_anaerobic,US,1,"(0.74, 0.806]",0.788396691,0.0,1,18
obligate anaerobic,obligate_anaerobic,US,1,"(0.806, 0.873]",0.842720691,0.0,2,18
obligate anaerobic,obligate_anaerobic,US,1,"(0.873, 0.939]",0.9168363140000002,0.0,1,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.072, 1.138]",1.0884626484999993,0.0,2,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.138, 1.204]",1.1849064964999996,0.0,2,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.204, 1.27]",1.2301410811999998,0.0,5,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.27, 1.337]",1.2845653079999997,0.0,6,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.337, 1.403]",1.3893168144999999,0.0,10,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.403, 1.469]",1.4476555646666665,0.0,3,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.469, 1.535]",1.526232139,0.0,18,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.535, 1.602]",1.5597833160476189,0.0,21,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.602, 1.668]",1.6405261882499995,0.0,8,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.668, 1.734]",1.7034202078181815,0.0,11,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.734, 1.8]",1.7713561654999996,0.00010559662090813095,30,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.8, 1.867]",1.8287929154905658,0.0011798840542683736,106,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.867, 1.933]",1.89390897972093,0.0,43,18
obligate anaerobic,obligate_anaerobic,US,1,"(1.933, 1.999]",1.9645568408333334,0.00035688793718772306,18,18
obligate anaerobic,obligate_anaerobic,US,2,"(0.00827, 0.0775]",0.05203833510714274,0.467604672664574,28,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.0775, 0.144]",0.11545527180952371,0.5834331651972287,21,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.144, 0.21]",0.18865619310909074,0.4255792860858807,55,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.21, 0.276]",0.2550089402368421,0.6566723057879695,38,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.276, 0.343]",0.2880451649999997,0.0,1,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.409, 0.475]",0.45155201356249985,0.6640122622511051,16,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.475, 0.541]",0.4945622476363635,0.5318529486675484,44,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.806, 0.873]",0.8611247945454543,0.3810890863522442,11,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.873, 0.939]",0.8977113128888887,0.40105820105820106,9,23
obligate anaerobic,obligate_anaerobic,US,2,"(0.939, 1.005]",0.970820427833333,0.44272445820433437,6,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.005, 1.072]",1.0447040829999998,0.33947624955689476,31,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.072, 1.138]",1.0878217298571429,0.12087912087912088,7,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.138, 1.204]",1.1521569555999995,0.3381385281385281,5,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.204, 1.27]",1.2274349250000005,0.0,1,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.27, 1.337]",1.313424454,0.0,4,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.469, 1.535]",1.5028731414999998,0.0,2,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.535, 1.602]",1.5869159607499999,0.0,4,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.602, 1.668]",1.6411691998999998,0.0,10,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.668, 1.734]",1.7094053376315788,0.010526315789473684,19,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.734, 1.8]",1.7769610084999998,0.010491613649508387,42,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.8, 1.867]",1.836757556173913,0.00016797782692684566,23,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.867, 1.933]",1.910741367631579,0.002918978069063505,76,23
obligate anaerobic,obligate_anaerobic,US,2,"(1.933, 1.999]",1.951202705147059,0.0019837634430912338,34,23
